runtime,location, handler
PYTHON_3_8, python, python.lambda_handler
PYTHON_3_7, python, python.lambda_handler
PYTHON_2_7, python, python.lambda_handler
NODEJS_12_X, node, lambda.handler
NODEJS_10_X, node, lambda.handler
GO_1_X, go, main
RUBY_2_7, ruby, ruby.LambdaFunctions::Handler.process
RUBY_2_5, ruby, ruby.LambdaFunctions::Handler.process
JAVA_8, java8/helloworld-1.0.jar, helloworld.Handler
JAVA_8_CORRETTO, java8/helloworld-1.0.jar, helloworld.Handler
JAVA_11, java11/helloworld-1.0.jar, helloworld.Handler
